year  month  day  hour obs_lon obs_lat model_lon model_lat velocity_U velocity_V wind_u wind_v
2016  4 18 22   125.833800    33.004100   125.833800    33.004100 -0.1497 0.2521 6.2110 1.3970
2016  4 18 23   125.838100    33.017700   125.835900    33.013500 -0.0626 0.2177 5.9677 2.1494
2016  4 19  0   125.847100    33.027500   125.840400    33.022400 0.0210 0.1786 5.7229 2.9131
2016  4 19  1   125.860600    33.030700   125.848000    33.028300 0.0821 0.0593 5.7021 1.8785
2016  4 19  2   125.878300    33.030600   125.858700    33.029300 0.1453 -0.0561 5.6920 0.8302
2016  4 19  3   125.897900    33.026400   125.871700    33.025600 0.2087 -0.1687 5.6828 -0.1770
2016  4 19  4   125.915000    33.019300   125.883400    33.020500 0.1080 -0.1287 4.6217 -0.6555
2016  4 19  5   125.927600    33.009100   125.889900    33.016100 0.0055 -0.0908 3.5603 -1.2788
2016  4 19  6   125.931400    33.000400   125.891200    33.012200 -0.0976 -0.0563 2.4946 -2.0221
2016  4 19  7   125.926800    32.996000   125.888000    33.011500 -0.1750 0.0702 2.4545 -0.7904
2016  4 19  8   125.916700    32.997100   125.881200    33.016200 -0.2547 0.1974 2.4232 0.4622
2016  4 19  9   125.905200    33.004300   125.870700    33.026100 -0.3364 0.3238 2.3895 1.7277
2016  4 19 10   125.894200    33.014700   125.861200    33.037900 -0.2310 0.3031 2.2856 1.7861
2016  4 19 11   125.887800    33.025400   125.855600    33.049200 -0.1265 0.2854 2.1860 1.8609
2016  4 19 12   125.888500    33.034500   125.853800    33.060000 -0.0223 0.2722 2.0896 1.9526
2016  4 19 13   125.898200    33.040200   125.856900    33.068100 0.0873 0.1445 2.3350 1.5751
2016  4 19 14   125.913900    33.040200   125.864800    33.071600 0.2075 0.0142 2.5787 1.1718
2016  4 19 15   125.933500    33.034600   125.877900    33.070500 0.3209 -0.1163 2.8292 0.7226
2016  4 19 16   125.953700    33.025500   125.891700    33.067500 0.2419 -0.1184 2.6648 0.8192
2016  4 19 17   125.969400    33.014700   125.901800    33.064500 0.1672 -0.1157 2.5218 0.9138
2016  4 19 18   125.979500    33.007000   125.909400    33.061900 0.0897 -0.1093 2.3703 1.0278
2016  4 19 19   125.980400    33.002700   125.911800    33.061700 -0.0275 0.0160 1.4240 0.9777
2016  4 19 20   125.974500    33.003100   125.908100    33.065300 -0.1406 0.1302 0.4526 0.9384
2016  4 19 21   125.963500    33.008100   125.898800    33.072600 -0.2567 0.2397 -0.5180 0.8955
2016  4 19 22   125.951000    33.016000   125.887800    33.081600 -0.1896 0.2375 -0.9218 1.6964
2016  4 19 23   125.941500    33.027200   125.879500    33.091500 -0.1252 0.2430 -1.3131 2.5090
2016  4 20  0   125.934900    33.037300   125.872600    33.102500 -0.0610 0.2532 -1.6810 3.3676
2016  4 20  1   125.932000    33.043700   125.868400    33.111800 0.0377 0.1259 -2.2906 3.6697
