@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.0092 , -0.0099 , 0.2075 , 6.0221 , 2.3802
0.0026 , 0.0629 , 0.1425 , 5.8157 , 3.1360
-0.0035 , 0.1134 , -0.0057 , 5.7996 , 1.1240
-0.0095 , 0.1799 , -0.1523 , 5.8156 , -0.8619
-0.0119 , 0.2623 , -0.2966 , 5.8761 , -2.7217
-0.0119 , 0.1597 , -0.2244 , 4.9134 , -2.3756
-0.0077 , 0.0535 , -0.1528 , 3.9826 , -2.1033
-0.0020 , -0.0617 , -0.0837 , 3.0603 , -1.9834
0.0061 , -0.1618 , 0.0672 , 2.8986 , -0.8505
0.0090 , -0.2593 , 0.2223 , 2.7372 , 0.2840
0.0097 , -0.3503 , 0.3866 , 2.5727 , 1.4311
0.0084 , -0.2365 , 0.3507 , 2.4758 , 1.5469
0.0042 , -0.1260 , 0.3126 , 2.3705 , 1.6753
-0.0017 , -0.0210 , 0.2726 , 2.2637 , 1.8220
-0.0083 , 0.1070 , 0.1013 , 2.4808 , 1.1487
-0.0149 , 0.2436 , -0.0794 , 2.7378 , 0.4450
-0.0175 , 0.3980 , -0.2640 , 3.0223 , -0.2439
-0.0158 , 0.3438 , -0.2390 , 2.7865 , -0.1723
-0.0126 , 0.2709 , -0.2099 , 2.5459 , -0.1409
-0.0070 , 0.1845 , -0.1800 , 2.3163 , -0.1642
-0.0023 , 0.0289 , -0.0231 , 1.3619 , 0.0100
0.0050 , -0.1247 , 0.1325 , 0.3343 , 0.1872
0.0094 , -0.2704 , 0.2924 , -0.6563 , 0.3541
0.0111 , -0.1904 , 0.2605 , -1.1225 , 1.4301
0.0117 , -0.1260 , 0.2292 , -1.5607 , 2.5623
0.0076 , -0.0723 , 0.2030 , -1.9889 , 3.7409
0.0018 , 0.0311 , 0.0318 , -2.5653 , 3.9738
-0.0033 , 0.1355 , -0.1446 , -3.1613 , 4.1799
-0.0077 , 0.2442 , -0.3207 , -3.7544 , 4.3653
-0.0073 , 0.1904 , -0.2712 , -3.8436 , 4.1932
-0.0042 , 0.1246 , -0.2165 , -3.9290 , 4.0468
0.0012 , 0.0576 , -0.1594 , -4.0053 , 3.8800
0.0081 , -0.0637 , 0.0502 , -4.3167 , 3.7705
0.0141 , -0.1691 , 0.2639 , -4.6346 , 3.6806
0.0185 , -0.2585 , 0.4737 , -4.9367 , 3.6120
0.0209 , -0.1644 , 0.4683 , -5.0517 , 3.6972
0.0200 , -0.0851 , 0.4767 , -5.1743 , 3.7960
0.0161 , -0.0062 , 0.4935 , -5.3230 , 3.9752
0.0092 , 0.0944 , 0.2848 , -6.2554 , 4.6585
0.0000 , 0.1869 , 0.0795 , -7.1925 , 5.2778
-0.0064 , 0.2726 , -0.1246 , -8.1033 , 5.8856
-0.0076 , 0.2235 , -0.1659 , -7.8765 , 5.8669
-0.0045 , 0.1744 , -0.2071 , -7.6497 , 5.8482
0.0019 , 0.1285 , -0.2465 , -7.4168 , 5.8478
0.0084 , 0.0229 , -0.0400 , -7.6321 , 6.3633
0.0176 , -0.0841 , 0.1565 , -7.8449 , 6.9001
0.0243 , -0.1850 , 0.3423 , -7.9848 , 7.4156
0.0272 , -0.1397 , 0.4062 , -7.7105 , 7.9595
0.0283 , -0.1015 , 0.4727 , -7.4771 , 8.5081
0.0264 , -0.0608 , 0.5345 , -7.2783 , 9.0610
0.0221 , 0.0744 , 0.4011 , -6.6710 , 9.9123
0.0152 , 0.1953 , 0.2684 , -6.1765 , 10.7647
0.0070 , 0.3167 , 0.1422 , -5.7734 , 11.6328
0.0005 , 0.3504 , 0.0718 , -2.4227 , 10.4288
-0.0036 , 0.3758 , -0.0005 , 0.9700 , 9.1809
-0.0020 , 0.3915 , -0.0711 , 4.3913 , 7.9523
0.0026 , 0.3030 , 0.0195 , 5.1926 , 5.8330
0.0061 , 0.2199 , 0.1025 , 6.0025 , 3.7573
0.0109 , 0.1409 , 0.1764 , 6.8535 , 1.6861
0.0124 , 0.1530 , 0.1895 , 7.8223 , 1.1828
0.0099 , 0.1601 , 0.2013 , 8.7875 , 0.7069
0.0045 , 0.1698 , 0.2070 , 9.7807 , 0.2768
-0.0032 , 0.2564 , 0.0839 , 9.3430 , -0.1142
-0.0112 , 0.3395 , -0.0259 , 8.8832 , -0.5287
-0.0181 , 0.4124 , -0.1222 , 8.3727 , -0.9712
-0.0232 , 0.3784 , -0.1637 , 7.8050 , -1.8132
-0.0258 , 0.3360 , -0.2048 , 7.2874 , -2.6888
-0.0223 , 0.2709 , -0.2489 , 6.8027 , -3.6273
-0.0120 , 0.1378 , -0.1700 , 6.2489 , -3.8697
0.0016 , 0.0245 , -0.1013 , 5.6926 , -4.1582
0.0152 , -0.0663 , -0.0481 , 5.1727 , -4.4723
0.0222 , -0.0332 , 0.0369 , 4.7403 , -3.8938
0.0215 , -0.0038 , 0.1134 , 4.3192 , -3.2910
0.0152 , 0.0112 , 0.1797 , 3.9108 , -2.6625
0.0052 , 0.1080 , 0.1809 , 3.3293 , -1.7626
-0.0009 , 0.2066 , 0.1861 , 2.7555 , -0.8063
-0.0088 , 0.3273 , 0.1991 , 2.1391 , 0.1548
-0.0145 , 0.3341 , 0.1565 , 1.9248 , 0.7682
-0.0156 , 0.3716 , 0.1198 , 1.7127 , 1.3585
-0.0126 , 0.4015 , 0.0871 , 1.5234 , 1.9313
-0.0028 , 0.3021 , 0.0686 , 1.4562 , 2.4837
0.0136 , -0.1497 , 0.2521 , 6.2110 , 1.3970
0.0098 , -0.0626 , 0.2177 , 5.9677 , 2.1494
0.0032 , 0.0210 , 0.1786 , 5.7229 , 2.9131
-0.0001 , 0.0821 , 0.0593 , 5.7021 , 1.8785
-0.0042 , 0.1453 , -0.0561 , 5.6920 , 0.8302
-0.0071 , 0.2087 , -0.1687 , 5.6828 , -0.1770
-0.0102 , 0.1080 , -0.1287 , 4.6217 , -0.6555
-0.0087 , 0.0055 , -0.0908 , 3.5603 , -1.2788
-0.0044 , -0.0976 , -0.0563 , 2.4946 , -2.0221
0.0011 , -0.1750 , 0.0702 , 2.4545 , -0.7904
0.0072 , -0.2547 , 0.1974 , 2.4232 , 0.4622
0.0104 , -0.3364 , 0.3238 , 2.3895 , 1.7277
0.0107 , -0.2310 , 0.3031 , 2.2856 , 1.7861
0.0091 , -0.1265 , 0.2854 , 2.1860 , 1.8609
0.0057 , -0.0223 , 0.2722 , 2.0896 , 1.9526
0.0000 , 0.0873 , 0.1445 , 2.3350 , 1.5751
-0.0056 , 0.2075 , 0.0142 , 2.5787 , 1.1718
-0.0091 , 0.3209 , -0.1163 , 2.8292 , 0.7226
-0.0108 , 0.2419 , -0.1184 , 2.6648 , 0.8192
-0.0077 , 0.1672 , -0.1157 , 2.5218 , 0.9138
-0.0043 , 0.0897 , -0.1093 , 2.3703 , 1.0278
0.0004 , -0.0275 , 0.0160 , 1.4240 , 0.9777
0.0050 , -0.1406 , 0.1302 , 0.4526 , 0.9384
0.0079 , -0.2567 , 0.2397 , -0.5180 , 0.8955
0.0112 , -0.1896 , 0.2375 , -0.9218 , 1.6964
0.0101 , -0.1252 , 0.2430 , -1.3131 , 2.5090
0.0064 , -0.0610 , 0.2532 , -1.6810 , 3.3676
0.0028 , 0.0377 , 0.1259 , -2.2906 , 3.6697
-0.0017 , 0.1334 , -0.0091 , -2.9181 , 3.9457
-0.0046 , 0.2269 , -0.1425 , -3.5494 , 4.2010
-0.0048 , 0.1552 , -0.1399 , -3.6428 , 3.8603
-0.0018 , 0.0818 , -0.1373 , -3.7312 , 3.5215
0.0036 , 0.0073 , -0.1375 , -3.8189 , 3.1767
0.0087 , -0.0980 , 0.0276 , -4.0260 , 3.3298
0.0131 , -0.2063 , 0.1840 , -4.2373 , 3.5065
0.0163 , -0.3160 , 0.3507 , -4.4564 , 3.7244
0.0188 , -0.2320 , 0.3814 , -5.0343 , 3.7847
0.0182 , -0.1415 , 0.4203 , -5.6140 , 3.8416
0.0154 , -0.0578 , 0.4714 , -6.1974 , 3.8955
0.0101 , 0.0588 , 0.3050 , -6.9178 , 4.6018
0.0030 , 0.1858 , 0.1438 , -7.6074 , 5.2809
-0.0037 , 0.3154 , -0.0110 , -8.2904 , 5.9482
-0.0055 , 0.2720 , -0.0622 , -7.8610 , 6.0664
-0.0025 , 0.2294 , -0.1125 , -7.4422 , 6.1789
0.0027 , 0.1898 , -0.1628 , -7.0233 , 6.2779
0.0085 , 0.0626 , -0.0179 , -6.8206 , 6.7723
0.0181 , -0.0593 , 0.1263 , -6.5593 , 7.2520
0.0253 , -0.1737 , 0.2814 , -6.2715 , 7.6853
0.0274 , -0.1441 , 0.3503 , -6.5010 , 8.1719
0.0277 , -0.1070 , 0.4206 , -6.7804 , 8.6698
0.0246 , -0.0675 , 0.5001 , -7.0284 , 9.1889
0.0210 , 0.0703 , 0.3737 , -5.6413 , 10.1100
0.0145 , 0.2044 , 0.2419 , -4.4167 , 11.0257
0.0068 , 0.3380 , 0.1047 , -3.3378 , 11.9324
-0.0004 , 0.3554 , 0.0162 , -0.6182 , 10.6539
-0.0037 , 0.3707 , -0.0758 , 2.1994 , 9.3928
-0.0035 , 0.3744 , -0.1719 , 5.1439 , 8.1599
-0.0002 , 0.2621 , -0.0632 , 5.7002 , 5.8874
0.0024 , 0.1529 , 0.0428 , 6.3017 , 3.6068
0.0068 , 0.0453 , 0.1466 , 6.9096 , 1.3663
0.0092 , 0.0500 , 0.1969 , 7.7633 , 0.7381
0.0077 , 0.0532 , 0.2448 , 8.6370 , 0.1020
0.0045 , 0.0596 , 0.2896 , 9.5323 , -0.5472
-0.0028 , 0.1648 , 0.1307 , 9.3147 , -0.8662
-0.0133 , 0.2603 , -0.0284 , 9.0581 , -1.1736
-0.0207 , 0.3457 , -0.1954 , 8.7859 , -1.4508
-0.0252 , 0.3139 , -0.2864 , 8.3172 , -2.4722
-0.0260 , 0.2715 , -0.3757 , 7.8651 , -3.5623
-0.0213 , 0.2177 , -0.4766 , 7.4485 , -4.7013
-0.0121 , 0.0708 , -0.3026 , 6.9451 , -4.6238
-0.0032 , -0.0658 , -0.1080 , 6.4132 , -4.5857
0.0058 , -0.1971 , 0.0952 , 5.8516 , -4.5501
0.0132 , -0.1872 , 0.2392 , 5.5087 , -3.7616
0.0177 , -0.1735 , 0.3726 , 5.1424 , -2.9698
0.0152 , -0.1691 , 0.4997 , 4.7775 , -2.1689
0.0102 , -0.0429 , 0.3699 , 4.3962 , -1.6111
0.0031 , 0.0824 , 0.2500 , 4.0116 , -1.0223
-0.0054 , 0.2025 , 0.1386 , 3.6054 , -0.4217
-0.0120 , 0.2189 , 0.0306 , 3.3762 , 0.4313
-0.0139 , 0.2307 , -0.0776 , 3.1187 , 1.2229
-0.0107 , 0.2375 , -0.1935 , 2.8916 , 1.9864
